date,grfTl,grfUsd,grfEur,grfUsdMmBtu
2020-01-01 00:00:00+03:00,1490.59,250.94,21.03,6.91
2020-01-02 00:00:00+03:00,1502.35,252.59,21.19,6.96
2020-01-03 00:00:00+03:00,1490.63,249.99,21.08,6.89
2020-01-04 00:00:00+03:00,1495.39,250.79,21.15,6.91
2020-01-05 00:00:00+03:00,1489.02,249.72,21.06,6.88
2020-01-06 00:00:00+03:00,1489.05,249.6,20.98,6.87
2020-01-07 00:00:00+03:00,1486.71,249.47,20.97,6.87
2020-01-08 00:00:00+03:00,1480.11,248.46,20.96,6.84
2020-01-09 00:00:00+03:00,1482.84,252.14,21.33,6.95
2020-01-10 00:00:00+03:00,1467.62,249.97,21.17,6.89
2020-01-11 00:00:00+03:00,1460.26,248.71,21.06,6.85
2020-01-12 00:00:00+03:00,1456.27,248.03,21.0,6.83
2020-01-13 00:00:00+03:00,1451.99,248.08,20.96,6.83
2020-01-14 00:00:00+03:00,1452.13,246.91,20.84,6.8
2020-01-15 00:00:00+03:00,1466.59,249.31,21.04,6.87
2020-01-16 00:00:00+03:00,1457.84,248.42,20.93,6.84
2020-01-17 00:00:00+03:00,1458.89,249.11,21.04,6.86
2020-01-18 00:00:00+03:00,1459.27,249.18,21.04,6.86
2020-01-19 00:00:00+03:00,1457.42,248.86,21.02,6.85
2020-01-20 00:00:00+03:00,1463.4,248.12,21.03,6.83
2020-01-21 00:00:00+03:00,1465.01,247.51,20.96,6.82
2020-01-22 00:00:00+03:00,1478.19,249.3,21.14,6.87
2020-01-23 00:00:00+03:00,1482.82,250.68,21.25,6.9
2020-01-24 00:00:00+03:00,1489.05,251.16,21.37,6.92
2020-01-25 00:00:00+03:00,1482.31,250.02,21.28,6.89
2020-01-26 00:00:00+03:00,1475.8,248.92,21.18,6.86
2020-01-27 00:00:00+03:00,1472.79,248.07,21.14,6.83
2020-01-28 00:00:00+03:00,1477.11,248.95,21.24,6.86
2020-01-29 00:00:00+03:00,1481.29,249.35,21.3,6.87
2020-01-30 00:00:00+03:00,1482.63,248.28,21.18,6.84
2020-01-31 00:00:00+03:00,1484.45,248.54,21.18,6.85
2020-02-01 00:00:00+03:00,1480.68,247.91,21.13,6.83
2020-02-02 00:00:00+03:00,1473.74,246.75,21.03,6.8
2020-02-03 00:00:00+03:00,1474.34,246.73,20.95,6.8
2020-02-04 00:00:00+03:00,1475.81,247.15,21.01,6.81
2020-02-05 00:00:00+03:00,1474.4,246.72,21.02,6.8
2020-02-06 00:00:00+03:00,1470.96,246.05,21.02,6.78
2020-02-07 00:00:00+03:00,1470.63,246.02,21.1,6.78
2020-02-08 00:00:00+03:00,1467.93,245.57,21.06,6.76
2020-02-09 00:00:00+03:00,1458.46,243.99,20.92,6.72
2020-02-10 00:00:00+03:00,1455.92,242.85,20.84,6.69
2020-02-11 00:00:00+03:00,1452.36,240.97,20.75,6.64
2020-02-12 00:00:00+03:00,1452.31,241.19,20.77,6.64
2020-02-13 00:00:00+03:00,1467.52,242.73,20.98,6.69
2020-02-14 00:00:00+03:00,1478.86,244.56,21.2,6.74
2020-02-15 00:00:00+03:00,1480.26,244.79,21.22,6.74
