date,time,toplam,dogalgaz,ruzgar,linyit,tasKomur,ithalKomur,fuelOil,jeotermal,barajli,nafta,biokutle,akarsu,gunes,diger,source_type
2020-01-01T00:00:00+03:00,00:00,25725.5,5646.6,849.37,5331.5,276.0,6788.55,3.6,1032.9,3705.67,0.0,403.89,1458.12,0.0,229.3,fdpp
2020-01-01T01:00:00+03:00,01:00,24159.99,4731.56,826.17,5331.5,276.0,6790.55,3.6,1033.6,3073.17,0.0,405.52,1459.02,0.0,229.3,fdpp
2020-01-01T02:00:00+03:00,02:00,22937.15,4535.73,798.83,5306.5,276.0,6789.55,3.6,1036.3,2124.32,0.0,406.02,1431.0,0.0,229.3,fdpp
2020-01-01T03:00:00+03:00,03:00,21972.48,3322.21,797.41,5249.0,276.0,6789.55,3.6,1037.3,2342.82,0.0,406.23,1519.06,0.0,229.3,fdpp
2020-01-01T04:00:00+03:00,04:00,21451.33,2848.2,872.79,5360.6,0.0,6790.55,0.6,1040.1,2351.52,0.0,407.84,1549.83,0.0,229.3,fdpp
2020-01-01T05:00:00+03:00,05:00,21440.4,2849.2,908.92,5337.3,0.0,6789.5,0.6,1039.5,2351.52,0.0,407.44,1527.12,0.0,229.3,fdpp
2020-01-01T06:00:00+03:00,06:00,21585.83,2849.2,1022.64,5322.7,0.0,6789.55,0.6,1039.9,2405.52,0.0,407.77,1518.65,0.0,229.3,fdpp
2020-01-01T07:00:00+03:00,07:00,22075.15,3142.54,1181.28,5326.9,0.0,6754.55,3.6,1040.4,2425.22,0.0,406.67,1564.39,0.0,229.6,fdpp
2020-01-01T08:00:00+03:00,08:00,22443.03,2943.2,1332.05,5246.6,0.0,6755.55,0.6,1035.5,2875.02,0.0,410.91,1608.58,0.0,235.02,fdpp
2020-01-01T09:00:00+03:00,09:00,23715.42,2947.2,1520.83,5144.0,0.0,6753.55,0.6,1034.6,4030.02,0.0,413.13,1615.63,0.0,255.86,fdpp
2020-01-01T10:00:00+03:00,10:00,24910.37,3538.21,1820.37,4920.4,0.0,6753.55,3.6,1030.6,4417.32,0.0,412.82,1743.42,0.0,270.08,fdpp
2020-01-01T11:00:00+03:00,11:00,26486.25,4260.25,2150.91,5109.3,0.0,6793.55,3.6,1025.1,4626.02,0.0,413.27,1797.9,0.0,306.35,fdpp
