hour,predicted_ptf,clearing_volume,lp_status
0,201.85,15909.0,optimal
1,200.08,15936.9,optimal
2,201.58,15816.5,optimal
3,1.24,14765.8,optimal
4,0.04,14683.8,optimal
5,1.05,14739.9,optimal
6,0.03,15456.5,optimal
7,-0.0,16210.7,optimal
8,0.56,17117.5,optimal
9,-0.0,17851.8,optimal
10,0.03,17805.3,optimal
11,-0.0,18023.8,optimal
12,0.0,17460.4,optimal
13,-0.0,19581.0,optimal
14,0.0,20288.2,optimal
15,0.34,21154.1,optimal
16,1.29,21628.6,optimal
17,201.98,22891.5,optimal
18,0.13,23067.9,optimal
19,9.69,21502.2,optimal
20,-0.0,18970.5,optimal
21,1206.39,19080.8,optimal
22,613.37,18340.7,optimal
23,352.74,17663.3,optimal
