date,hour,price,priceUsd,priceEur
2020-01-01T00:00:00+03:00,00:00,311.65,52.46,46.86
2020-01-01T01:00:00+03:00,01:00,313.24,52.73,47.1
2020-01-01T02:00:00+03:00,02:00,311.08,52.37,46.77
2020-01-01T03:00:00+03:00,03:00,310.7,52.3,46.72
2020-01-01T04:00:00+03:00,04:00,200.01,33.67,30.07
2020-01-01T05:00:00+03:00,05:00,179.99,30.3,27.06
2020-01-01T06:00:00+03:00,06:00,254.0,42.76,38.19
2020-01-01T07:00:00+03:00,07:00,300.01,50.51,45.11
2020-01-01T08:00:00+03:00,08:00,209.99,35.35,31.57
2020-01-01T09:00:00+03:00,09:00,200.01,33.67,30.07
2020-01-01T10:00:00+03:00,10:00,310.14,52.21,46.63
2020-01-01T11:00:00+03:00,11:00,311.12,52.38,46.78
2020-01-01T12:00:00+03:00,12:00,310.81,52.32,46.73
2020-01-01T13:00:00+03:00,13:00,311.28,52.4,46.8
2020-01-01T14:00:00+03:00,14:00,288.57,48.58,43.39
2020-01-01T15:00:00+03:00,15:00,290.01,48.82,43.61
2020-01-01T16:00:00+03:00,16:00,312.41,52.59,46.97
2020-01-01T17:00:00+03:00,17:00,315.56,53.12,47.45
2020-01-01T18:00:00+03:00,18:00,316.22,53.23,47.55
2020-01-01T19:00:00+03:00,19:00,314.08,52.87,47.23
2020-01-01T20:00:00+03:00,20:00,311.12,52.38,46.78
2020-01-01T21:00:00+03:00,21:00,310.2,52.22,46.64
2020-01-01T22:00:00+03:00,22:00,274.57,46.22,41.28
2020-01-01T23:00:00+03:00,23:00,250.64,42.19,37.69
2020-01-02T00:00:00+03:00,00:00,310.53,52.28,46.61
2020-01-02T01:00:00+03:00,01:00,311.38,52.42,46.74
2020-01-02T02:00:00+03:00,02:00,290.01,48.82,43.53
2020-01-02T03:00:00+03:00,03:00,250.0,42.09,37.53
2020-01-02T04:00:00+03:00,04:00,180.0,30.3,27.02
2020-01-02T05:00:00+03:00,05:00,180.0,30.3,27.02
2020-01-02T06:00:00+03:00,06:00,180.0,30.3,27.02
2020-01-02T07:00:00+03:00,07:00,310.71,52.31,46.64
2020-01-02T08:00:00+03:00,08:00,319.37,53.77,47.94
2020-01-02T09:00:00+03:00,09:00,323.95,54.54,48.63
2020-01-02T10:00:00+03:00,10:00,326.74,55.01,49.04
2020-01-02T11:00:00+03:00,11:00,329.69,55.5,49.49
2020-01-02T12:00:00+03:00,12:00,324.81,54.68,48.75
2020-01-02T13:00:00+03:00,13:00,325.45,54.79,48.85
2020-01-02T14:00:00+03:00,14:00,327.13,55.07,49.1
2020-01-02T15:00:00+03:00,15:00,326.5,54.97,49.01
2020-01-02T16:00:00+03:00,16:00,328.75,55.35,49.35
2020-01-02T17:00:00+03:00,17:00,331.52,55.81,49.76
2020-01-02T18:00:00+03:00,18:00,329.43,55.46,49.45
2020-01-02T19:00:00+03:00,19:00,325.65,54.82,48.88
2020-01-02T20:00:00+03:00,20:00,322.08,54.22,48.35
2020-01-02T21:00:00+03:00,21:00,319.49,53.79,47.96
2020-01-02T22:00:00+03:00,22:00,316.01,53.2,47.43
2020-01-02T23:00:00+03:00,23:00,312.58,52.62,46.92
2020-01-03T00:00:00+03:00,00:00,320.01,53.87,48.03
2020-01-03T01:00:00+03:00,01:00,320.74,54.0,48.14
2020-01-03T02:00:00+03:00,02:00,277.86,46.78,41.71
2020-01-03T03:00:00+03:00,03:00,200.0,33.67,30.02
2020-01-03T04:00:00+03:00,04:00,184.99,31.14,27.77
2020-01-03T05:00:00+03:00,05:00,212.07,35.7,31.83
2020-01-03T06:00:00+03:00,06:00,279.99,47.14,42.03
2020-01-03T07:00:00+03:00,07:00,322.0,54.21,48.33
2020-01-03T08:00:00+03:00,08:00,329.88,55.54,49.52
2020-01-03T09:00:00+03:00,09:00,334.88,56.38,50.27
2020-01-03T10:00:00+03:00,10:00,334.99,56.4,50.28
2020-01-03T11:00:00+03:00,11:00,335.47,56.48,50.35
2020-01-03T12:00:00+03:00,12:00,329.99,55.55,49.53
2020-01-03T13:00:00+03:00,13:00,327.87,55.2,49.21
2020-01-03T14:00:00+03:00,14:00,333.77,56.19,50.1
2020-01-03T15:00:00+03:00,15:00,334.99,56.4,50.28
2020-01-03T16:00:00+03:00,16:00,338.25,56.94,50.77
2020-01-03T17:00:00+03:00,17:00,343.04,57.75,51.49
2020-01-03T18:00:00+03:00,18:00,341.03,57.41,51.19
2020-01-03T19:00:00+03:00,19:00,336.55,56.66,50.52
2020-01-03T20:00:00+03:00,20:00,334.68,56.34,50.24
2020-01-03T21:00:00+03:00,21:00,334.99,56.4,50.28
2020-01-03T22:00:00+03:00,22:00,332.82,56.03,49.96
2020-01-03T23:00:00+03:00,23:00,329.01,55.39,49.39
2020-01-04T00:00:00+03:00,00:00,323.02,54.31,48.48
2020-01-04T01:00:00+03:00,01:00,323.18,54.34,48.5
2020-01-04T02:00:00+03:00,02:00,320.48,53.88,48.1
2020-01-04T03:00:00+03:00,03:00,318.2,53.5,47.76
2020-01-04T04:00:00+03:00,04:00,260.59,43.81,39.11
2020-01-04T05:00:00+03:00,05:00,268.48,45.14,40.29
2020-01-04T06:00:00+03:00,06:00,320.09,53.82,48.04
2020-01-04T07:00:00+03:00,07:00,324.08,54.49,48.64
2020-01-04T08:00:00+03:00,08:00,328.59,55.25,49.32
2020-01-04T09:00:00+03:00,09:00,333.34,56.04,50.03
2020-01-04T10:00:00+03:00,10:00,338.34,56.88,50.78
2020-01-04T11:00:00+03:00,11:00,340.01,57.17,51.03
2020-01-04T12:00:00+03:00,12:00,336.46,56.57,50.5
2020-01-04T13:00:00+03:00,13:00,336.65,56.6,50.53
2020-01-04T14:00:00+03:00,14:00,337.27,56.71,50.62
2020-01-04T15:00:00+03:00,15:00,336.25,56.53,50.47
2020-01-04T16:00:00+03:00,16:00,338.77,56.96,50.84
2020-01-04T17:00:00+03:00,17:00,343.98,57.83,51.63
2020-01-04T18:00:00+03:00,18:00,345.0,58.0,51.78
2020-01-04T19:00:00+03:00,19:00,342.63,57.61,51.42
2020-01-04T20:00:00+03:00,20:00,339.38,57.06,50.94
2020-01-04T21:00:00+03:00,21:00,336.05,56.5,50.44
2020-01-04T22:00:00+03:00,22:00,331.96,55.81,49.82
2020-01-04T23:00:00+03:00,23:00,332.28,55.87,49.87
2020-01-05T00:00:00+03:00,00:00,323.52,54.26,48.68
2020-01-05T01:00:00+03:00,01:00,323.38,54.23,48.65
2020-01-05T02:00:00+03:00,02:00,320.57,53.76,48.23
2020-01-05T03:00:00+03:00,03:00,280.01,46.96,42.13
2020-01-05T04:00:00+03:00,04:00,221.35,37.12,33.3
2020-01-05T05:00:00+03:00,05:00,249.99,41.93,37.61
2020-01-05T06:00:00+03:00,06:00,279.56,46.88,42.06
2020-01-05T07:00:00+03:00,07:00,304.94,51.14,45.88
2020-01-05T08:00:00+03:00,08:00,250.0,41.93,37.61
2020-01-05T09:00:00+03:00,09:00,250.0,41.93,37.61
2020-01-05T10:00:00+03:00,10:00,319.99,53.67,48.14
2020-01-05T11:00:00+03:00,11:00,324.03,54.34,48.75
2020-01-05T12:00:00+03:00,12:00,323.6,54.27,48.69
2020-01-05T13:00:00+03:00,13:00,324.39,54.4,48.81
2020-01-05T14:00:00+03:00,14:00,324.17,54.37,48.77
2020-01-05T15:00:00+03:00,15:00,323.09,54.19,48.61
2020-01-05T16:00:00+03:00,16:00,322.7,54.12,48.55
2020-01-05T17:00:00+03:00,17:00,327.16,54.87,49.22
2020-01-05T18:00:00+03:00,18:00,329.71,55.3,49.61
2020-01-05T19:00:00+03:00,19:00,326.26,54.72,49.09
2020-01-05T20:00:00+03:00,20:00,322.73,54.12,48.56
2020-01-05T21:00:00+03:00,21:00,320.0,53.67,48.15
2020-01-05T22:00:00+03:00,22:00,298.78,50.11,44.95
2020-01-05T23:00:00+03:00,23:00,180.0,30.19,27.08
2020-01-06T00:00:00+03:00,00:00,298.79,50.11,44.96
2020-01-06T01:00:00+03:00,01:00,300.0,50.31,45.14
2020-01-06T02:00:00+03:00,02:00,200.0,33.54,30.09
2020-01-06T03:00:00+03:00,03:00,174.13,29.2,26.2
2020-01-06T04:00:00+03:00,04:00,174.13,29.2,26.2
2020-01-06T05:00:00+03:00,05:00,179.99,30.19,27.08
2020-01-06T06:00:00+03:00,06:00,180.0,30.19,27.08
2020-01-06T07:00:00+03:00,07:00,298.79,50.11,44.96
2020-01-06T08:00:00+03:00,08:00,326.7,54.79,49.15
2020-01-06T09:00:00+03:00,09:00,334.05,56.02,50.26
2020-01-06T10:00:00+03:00,10:00,333.25,55.89,50.14
2020-01-06T11:00:00+03:00,11:00,337.37,56.58,50.76
2020-01-06T12:00:00+03:00,12:00,332.44,55.75,50.02
2020-01-06T13:00:00+03:00,13:00,334.02,56.02,50.26
2020-01-06T14:00:00+03:00,14:00,335.87,56.33,50.53
2020-01-06T15:00:00+03:00,15:00,334.88,56.16,50.39
2020-01-06T16:00:00+03:00,16:00,335.53,56.27,50.48
2020-01-06T17:00:00+03:00,17:00,338.45,56.76,50.92
2020-01-06T18:00:00+03:00,18:00,335.29,56.23,50.45
2020-01-06T19:00:00+03:00,19:00,330.43,55.42,49.72
2020-01-06T20:00:00+03:00,20:00,327.23,54.88,49.23
2020-01-06T21:00:00+03:00,21:00,323.39,54.24,48.66
2020-01-06T22:00:00+03:00,22:00,321.84,53.98,48.42
2020-01-06T23:00:00+03:00,23:00,285.88,47.94,43.01
2020-01-07T00:00:00+03:00,00:00,289.98,48.63,43.63
2020-01-07T01:00:00+03:00,01:00,308.71,51.77,46.45
2020-01-07T02:00:00+03:00,02:00,280.0,46.96,42.13
2020-01-07T03:00:00+03:00,03:00,210.0,35.22,31.6
2020-01-07T04:00:00+03:00,04:00,178.0,29.85,26.78
2020-01-07T05:00:00+03:00,05:00,200.01,33.54,30.09
2020-01-07T06:00:00+03:00,06:00,250.0,41.93,37.61
2020-01-07T07:00:00+03:00,07:00,320.4,53.73,48.21
2020-01-07T08:00:00+03:00,08:00,326.95,54.83,49.19
2020-01-07T09:00:00+03:00,09:00,330.0,55.34,49.65
