date,hour,systemMarginalPrice
2020-01-01T00:00:00+03:00,2020-01-01T00:00:00+03:00,261.75
2020-01-01T01:00:00+03:00,2020-01-01T01:00:00+03:00,295.24
2020-01-01T02:00:00+03:00,2020-01-01T02:00:00+03:00,311.08
2020-01-01T03:00:00+03:00,2020-01-01T03:00:00+03:00,310.7
2020-01-01T04:00:00+03:00,2020-01-01T04:00:00+03:00,200.01
2020-01-01T05:00:00+03:00,2020-01-01T05:00:00+03:00,200.0
2020-01-01T06:00:00+03:00,2020-01-01T06:00:00+03:00,275.9
2020-01-01T07:00:00+03:00,2020-01-01T07:00:00+03:00,320.0
2020-01-01T08:00:00+03:00,2020-01-01T08:00:00+03:00,191.99
2020-01-01T09:00:00+03:00,2020-01-01T09:00:00+03:00,150.01
2020-01-01T10:00:00+03:00,2020-01-01T10:00:00+03:00,260.14
2020-01-01T11:00:00+03:00,2020-01-01T11:00:00+03:00,241.12
2020-01-01T12:00:00+03:00,2020-01-01T12:00:00+03:00,260.81
2020-01-01T13:00:00+03:00,2020-01-01T13:00:00+03:00,252.28
2020-01-01T14:00:00+03:00,2020-01-01T14:00:00+03:00,231.18
2020-01-01T15:00:00+03:00,2020-01-01T15:00:00+03:00,204.0
2020-01-01T16:00:00+03:00,2020-01-01T16:00:00+03:00,253.41
2020-01-01T17:00:00+03:00,2020-01-01T17:00:00+03:00,308.56
2020-01-01T18:00:00+03:00,2020-01-01T18:00:00+03:00,367.0
2020-01-01T19:00:00+03:00,2020-01-01T19:00:00+03:00,380.0
2020-01-01T20:00:00+03:00,2020-01-01T20:00:00+03:00,387.0
2020-01-01T21:00:00+03:00,2020-01-01T21:00:00+03:00,382.31
2020-01-01T22:00:00+03:00,2020-01-01T22:00:00+03:00,324.57
2020-01-01T23:00:00+03:00,2020-01-01T23:00:00+03:00,290.0
2020-01-02T00:00:00+03:00,2020-01-02T00:00:00+03:00,310.53
2020-01-02T01:00:00+03:00,2020-01-02T01:00:00+03:00,311.38
2020-01-02T02:00:00+03:00,2020-01-02T02:00:00+03:00,290.01
