date,hour,upRegulationZeroCoded,upRegulationOneCoded,upRegulationTwoCoded,upRegulationDelivered,net,downRegulationZeroCoded,downRegulationOneCoded,downRegulationTwoCoded,downRegulationDelivered
2020-01-01T00:00:00+03:00,00:00,170.17,0.0,0,170.17,-173.14,374.28,0.0,0,-343.31
2020-01-01T01:00:00+03:00,01:00,0.0,0.0,0,0.0,-56.28,57.2,0.0,0,-56.28
2020-01-01T02:00:00+03:00,02:00,55.0,0.0,0,42.0,42.0,0.0,0.0,0,0.0
2020-01-01T03:00:00+03:00,03:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
2020-01-01T04:00:00+03:00,04:00,138.42,0.0,0,66.32,66.32,0.0,0.0,0,0.0
2020-01-01T05:00:00+03:00,05:00,335.0,0.0,0,163.0,163.0,0.0,0.0,0,0.0
2020-01-01T06:00:00+03:00,06:00,383.0,0.0,0,220.62,220.62,0.0,0.0,0,0.0
2020-01-01T07:00:00+03:00,07:00,460.83,0.0,0,226.67,226.67,0.0,0.0,0,0.0
2020-01-01T08:00:00+03:00,08:00,134.57,0.0,0,50.87,-143.16,250.23,0.0,0,-194.03
2020-01-01T09:00:00+03:00,09:00,0.0,0.0,0,0.0,-268.02,284.67,0.0,0,-268.02
2020-01-01T10:00:00+03:00,10:00,0.0,0.0,0,0.0,-297.2,321.23,0.0,0,-297.2
2020-01-01T11:00:00+03:00,11:00,0.0,0.0,0,0.0,-565.35,610.5,0.0,0,-565.35
2020-01-01T12:00:00+03:00,12:00,104.17,0.0,0,104.17,-324.44,433.0,0.0,0,-428.61
2020-01-01T13:00:00+03:00,13:00,0.0,0.0,0,0.0,-448.89,453.0,0.0,0,-448.89
2020-01-01T14:00:00+03:00,14:00,30.67,0.0,0,30.67,-474.12,518.0,0.0,0,-504.79
2020-01-01T15:00:00+03:00,15:00,16.67,0.0,0,16.67,-672.09,701.0,0.0,0,-688.76
2020-01-01T16:00:00+03:00,16:00,233.83,0.0,0,233.83,-748.17,1095.17,0.0,0,-982.0
2020-01-01T17:00:00+03:00,17:00,339.57,0.0,0,319.83,-169.53,496.97,0.0,0,-489.36
2020-01-01T18:00:00+03:00,18:00,974.67,0.0,0,765.17,765.17,0.0,0.0,0,0.0
2020-01-01T19:00:00+03:00,19:00,1464.27,0.0,0,1179.24,1077.99,105.25,0.0,0,-101.25
2020-01-01T20:00:00+03:00,20:00,1630.0,0.0,0,1339.34,1309.34,30.0,0.0,0,-30.0
